date	state	school	type_school	death	suicide	number_victims	lat	lon
2010-10-01	CA	alisal	K-12	1	0.0	1	36.684681899999994	-121.6004996
2010-02-26	WA	birney	K-12	1	0.0	1	47.1878768	-122.450401
2010-02-05	AL	discovery	K-12	1	0.0	1	34.740964	-86.741168
2010-01-20	AL	livingstone	K-12	1	0.0	1	32.5856914	-88.18724759999999
2010-10-03	NC	mid-atlantic christian university	College	1	0.0	1	36.304553999999996	-76.217087
2010-03-09	OH	ohio state university	College	1	1.0	1	39.9961755	-83.018795
2010-10-24	KS	topeka west	K-12	1	0.0	1	39.0315616	-95.7459347
2010-02-12	AL	university of alabama	College	1	0.0	3	33.2151183	-87.5466729
2011-02-23	CA	Coast Career Institue	College	1	0.0	1	34.036453	-118.26268799999998
2011-02-02	CA	Louisiana Schnell Elementary School	K-12	1	0.0	1	38.735180799999995	-120.7768784
2011-01-05	NE	millard south	K-12	1	1.0	1	41.2041657	-96.1466863
2011-04-06	AL	southern union community college	College	1	0.0	1	33.1276199	-85.57162120000001
2011-12-08	VA	Virginia Tech	College	1	1.0	1	37.228333299999996	-80.4180556
2011-03-31	TX	worthing high	K-12	1	0.0	1	29.657453399999998	-95.366883
2011-02-06	OH	youngstown university	College	1	0.0	1	41.1042248	-80.6470194
2012-02-27	OH	Chardon High	K-12	1	0.0	3	41.5914386	-81.20010119999999
2012-03-06	FL	episcopal high	K-12	1	0.0	1	30.3071841	-81.64009449999999
2012-03-24	MS	mississippi state	College	1	0.0	1	33.454844	-88.7886639
2012-04-02	CA	Oikos	College	1	0.0	7	37.741001000000004	-122.202003
2012-12-14	CT	Sandy Hook Elementary	K-12	1	1.0	27	41.4200956	-73.27872740000001
2013-01-07	FL		K-12	1		1	26.640628000000003	-81.87230799999999
2013-01-15	KY		College	1		3	37.24954	-83.193228
2013-01-16	IL		College	1		1	41.878114000000004	-87.629798
2013-02-13	CA		K-12	1		1	37.72493	-122.156077
2013-06-07	CA		College	1		4	34.019453999999996	-118.49119099999999
2013-06-20	FL		K-12	1		2	26.715342	-80.053375
2013-08-23	MS		K-12	1		1	34.437051000000004	-89.91592299999999
2013-09-21	GA		College	1		1	32.083541	-81.099834
2013-10-21	NV		K-12	1		1	39.534911	-119.75268899999999
2013-12-13	CO		K-12	1		1	39.620309999999996	-104.33264399999999
2014-01-21	IN		College	1		1	40.425869	-86.908066
2014-01-24	SC		College	1		1	33.491820000000004	-80.855648
2014-01-25	CA		College	1		1	34.052234000000006	-118.24368500000001
2014-04-11	MI		K-12	1		1	42.331427000000005	-83.045754
2014-04-21	IN		K-12	1		1	41.528369	-87.42365
2014-05-23	CA		College	1		6	34.420831	-119.69819
2014-06-05	WA		College	1		1	47.60621	-122.332071
2014-06-10	OR		K-12	1		1	45.539286	-122.38731299999999
2014-10-24	WA		K-12	1		4	48.051764	-122.17708200000001
2014-11-20	FL		K-12	1		1	25.76168	-80.19179
2015-02-14	CA		K-12	1		1	37.302163	-120.482968
2015-04-13	NC		College	1		1	35.384884	-77.992765
2015-08-27	GA		College	1		1	32.083541	-81.099834
2015-09-03	CA		College	1		1	38.581571999999994	-121.4944
2015-09-14	MS		College	1		1	33.744002	-90.724819
2015-10-01	OR		College	1		9	43.216505	-123.34173799999999
2015-10-09	AZ		College	1		1	35.198284	-111.651302
2015-10-09	TX		College	1		1	29.760427000000004	-95.369803
2015-10-22	TN		College	1		1	36.162664	-86.781602
2015-11-01	NC		College	1		1	36.09986	-80.24421600000001
2015-11-20	NV		K-12	1		1	36.198859000000006	-115.117501
2016-02-12	AZ		K-12	1		1	33.538652	-112.18598700000001
2016-06-01	CA		College	1		1	34.052234000000006	-118.24368500000001
2016-06-08	MA		K-12	1		1	42.301629999999996	-71.067605
2016-09-28	SC		K-12	1		1	34.563714000000004	-82.898478
2017-04-10	CA		K-12	1		2	34.108345	-117.28976499999999
2017-05-04	TX		College	1		1	32.814018	-96.948894
2017-09-13	WA		K-12	1		1	47.452121000000005	-117.130747
2017-11-14	CA		K-12	1		5	40.000688000000004	-122.458047
2017-12-07	NM		K-12	1		2	36.822226	-107.99284499999999
2018-01-20	NC		College	1		1	36.09986	-80.24421600000001
2018-01-23	KY		K-12	1		2	36.857377	-88.401604
2018-02-14	FL		K-12	1		17	26.310777	-80.253225
