Date;City, State ;School Name ;State;School Type ;Category;Attack;Latitude;Longitude
12 09 2016;St. Louis, MO ;Bayless High School ;MO;K-12 ;Attack on other persons(s) resulting in injury or death;1;38.552111;-90.301456
12 01 2016;Bountiful, UT ;Mueller Park Junior High School ;UT;K-12 ;Gun fired but no one injured;0;40.872385;-111.861186
11 17 2016;St. Paul, MN ;Crossroads Elementary School ;MN;K-12 ;Gun fired but no one injured;0;44.970808;-93.122882
11 11 2016;Auburn, MI ;Bay City Western High School ;MI;K-12 ;Gun fired unintentionally resulting in injury or death;0;43.604951;-84.078202
11 03 2016;Berthoud, CO ;Berthoud High School ;CO;K-12 ;Attack on other persons(s) resulting in injury or death;1;40.29891;-105.086521
11 02 2016;Grand Junction, CO ;Grand Junction High School ;CO;K-12 ;Attempted or completed suicide, with no intent to injure other person;0;39.080777;-108.562921
10 23 2016;Huntsville, AL ;Alabama A&M University ;AL;College ;Gun fired but no one injured;0;34.784633;-86.572031
10 23 2016;Caledonia, MI ;Davenport University ;MI;College ;Attack on other persons(s) resulting in injury or death;1;42.849392;-85.530676
10 11 2016;Prichard, AL ;Vigor High School ;AL;K-12 ;Attack on other persons(s) resulting in injury or death;1;30.743173;-88.080367
10 06 2016;Fort Worth, TX ;Dunbar High School ;TX;K-12 ;Attack on other persons(s) resulting in injury or death;1;32.719793;-97.231019
09 28 2016;Townville, SC ;Townville Elementary School ;SC;K-12 ;Attack on other persons(s) resulting in injury or death;1;34.563674;-82.902399
09 15 2016;Stephenville, TX ;Tarleton State University ;TX;College ;Gun fired but no one injured;0;32.215898;-98.215903
09 09 2016;Cedar Rapids, IA ;Cedar Rapids Jefferson High School ;IA;K-12 ;Attempted or completed suicide, with no intent to injure other person;0;41.965818;-91.698704
09 09 2016;Montgomery, AL ;Auburn University at Montgomery ;AL;College ;Attack on other persons(s) resulting in injury or death;1;32.369746;-86.176658
09 08 2016;Alpine, TX ;Alpine High School ;TX;K-12 ;Attack on other persons(s) resulting in injury or death;1;30.371484;-103.665756
09 02 2016;Tulsa, OK ;McLain High School ;OK;K-12 ;Attack on other persons(s) resulting in injury or death;1;36.225181;-95.97486
08 25 2016;Booneville, MS ;Northeast Mississippi Community College ;MS;College ;Attack on other persons(s) resulting in injury or death;1;34.667266;-88.562436
07 25 2016;Ava, MO ;Ava High School ;MO;K-12 ;Attack on other persons(s) resulting in injury or death;1;36.956871;-92.65941
07 07 2016;Dallas, TX ;El Centro College ;TX;College ;Attack on other persons(s) resulting in injury or death;1;32.77976;-96.805331
06 10 2016;Vallejo, CA ;Solano Community College ;CA;College ;Gun fired unintentionally resulting in injury or death;0;38.135201;-122.20357
06 07 2016;Columbia, MO ;University of Missouri ;MO;College ;Gun fired unintentionally resulting in injury or death;0;38.940381;-92.327738
06 01 2016;Los Angeles, CA ;University of California-Los Angeles ;CA;College ;Attack on other persons(s) resulting in injury or death;1;34.068921;-118.445181
05 15 2016;Augusta, KS ;Augusta High School ;KS;K-12 ;Gun fired unintentionally resulting in injury or death;0;37.696685;-96.970156
05 13 2016;Greenville, SC ;Southside High School ;SC;K-12 ;Gun fired unintentionally resulting in injury or death;0;34.7967;-82.403815
05 11 2016;Jamaica, NY ;St. John's University ;NY;College ;Gun fired but no one injured;0;40.723014;-73.795035
05 06 2016;Twin Falls, ID ;Robert Stuart Middle School ;ID;K-12 ;Gun fired but no one injured;0;42.575306;-114.491953
05 06 2016;Columbia, MO ;University of Missouri ;MO;College ;Gun fired but no one injured;0;38.940381;-92.327738
05 06 2016;Panama City, FL ;Oscar Patterson Elementary School ;FL;K-12 ;Gun fired unintentionally resulting in injury or death;0;30.166455;-85.638797
05 05 2016;Beltsville, MD ;High Point High School ;MD;K-12 ;Attack on other persons(s) resulting in injury or death;1;39.042611;-76.943467
05 02 2016;Dallas, TX ;Kimball High School ;TX;K-12 ;Gun fired unintentionally resulting in injury or death;0;32.699661;-96.877071
04 29 2016;Charleston, WV ;University of Charleston ;WV;College ;Gun fired but no one injured;0;38.33226;-81.61562
04 16 2016;Tuskegee, AL ;Tuskegee University ;AL;College ;Attack on other persons(s) resulting in injury or death;1;32.430678;-85.707285
04 02 2016;Manhattan, KS ;Kansas State University ;KS;College ;Attempted or completed suicide, with no intent to injure other person;0;39.197444;-96.584725
03 27 2016;Tacoma, WA ;University of Puget Sound ;WA;College ;Gun fired but no one injured;0;47.261764;-122.481455
03 23 2016;Charlotte, NC ;Johnson C. Smith University ;NC;College ;Attack on other persons(s) resulting in injury or death;1;35.242719;-80.856212
03 21 2016;Atlanta, GA ;Georgia State University ;GA;College ;Attack on other persons(s) resulting in injury or death;1;33.753068;-84.385282
03 15 2016;Birmingham, AL ;Huffman High School ;AL;K-12 ;Attack on other persons(s) resulting in injury or death;1;33.611221;-86.683192
02 29 2016;Middletown, OH ;Madison High School ;OH;K-12 ;Attack on other persons(s) resulting in injury or death;1;39.533853;-84.443375
02 26 2016;Palestine, TX ;Palestine High School ;TX;K-12 ;Attack on other persons(s) resulting in injury or death;1;31.73818;-95.605374
02 17 2016;Homosassa, FL ;Rock Crusher Elementary School ;FL;K-12 ;Gun fired but no one injured;0;28.84901;-82.53689
02 12 2016;Glendale, AZ ;Independence High School ;AZ;K-12 ;Attack on other persons(s) resulting in injury or death;1;33.532439;-112.222754
02 09 2016;Muskegon Heights High School, MI ;Muskegon Heights High School ;MI;K-12 ;Attack on other persons(s) resulting in injury or death;1;43.20725;-86.247445
01 29 2016;Philadelphia, PA ;Benjamin Franklin High School ;PA;K-12 ;Gun fired but no one injured;0;39.96359;-75.162017
01 22 2016;Indianapolis, IN ;Lawrence Central High School ;IN;K-12 ;Attack on other persons(s) resulting in injury or death;1;39.85667;-86.038215
01 20 2016;Indianapolis, IN ;Northwest Community High School ;IN;K-12 ;Gun fired but no one injured;0;39.814651;-86.258554
01 13 2016;Camden, AR ;Harmony Grove High School ;AR;K-12 ;Gun fired unintentionally resulting in injury or death;0;33.651494;-92.779906
01 12 2016;Dover, DE ;Central Middle School ;DE;K-12 ;Gun fired but no one injured;0;39.164456;-75.523122
12 29 2015;Greeley, CO, CO ;Aims Community College ;CO;College ;Attempted or completed suicide, with no intent to injure other person;0;40.40955;-104.76275
12 18 2015;Jackson, TN ;Lane College ;TN;College ;Gun fired but no one injured;0;35.627775;-88.806113
11 29 2015;Columbus, OH ;Ohio State University ;OH;College ;Attempted or completed suicide, with no intent to injure other person;0;40.014191;-83.030914
11 11 2015;Sulphur Rock, AR ;Sulphur Rock Magnet School ;AR;K-12 ;Gun fired unintentionally resulting in injury or death;0;35.756083;-91.499929
11 10 2015;Lecanto, FL ;Lecanto High School ;FL;K-12 ;Attempted or completed suicide, with no intent to injure other person;0;28.824296;-82.498465
11 05 2015;Moultrie, GA ;Vereen School ;GA;K-12 ;Gun fired but no one injured;0;31.176829;-83.805904
11 01 2015;Winston-Salem, NC ;Winston-Salem State University ;NC;College ;Attack on other persons(s) resulting in injury or death;1;36.089874;-80.225117
10 25 2015;Durham, NC ;North Carolina Central University ;NC;College ;Attack on other persons(s) resulting in injury or death;1;35.974737;-78.898101
10 24 2015;San Antonio, TX ;Ed White Middle School ;TX;K-12 ;Attack on other persons(s) resulting in injury or death;1;29.505616;-98.380185
10 22 2015;Nashville, TN ;Tennessee State University ;TN;College ;Attack on other persons(s) resulting in injury or death;1;36.166822;-86.827582
10 15 2015;Langston, OK ;Langston University ;OK;College ;Gun fired but no one injured;0;35.945962;-97.262907
10 15 2015;San Antonio, TX ;Wagner High School ;TX;K-12 ;Gun fired but no one injured;0;29.456642;-98.356936
10 11 2015;Tampa, FL ;University of South Florida ;FL;College ;Gun fired but no one injured;0;28.058703;-82.413854
10 09 2015;Houston, TX ;Texas Southern University ;TX;College ;Attack on other persons(s) resulting in injury or death;1;29.721763;-95.360612
10 09 2015;Flagstaff, AZ ;Northern Arizona University - Flagstaff ;AZ;College ;Attack on other persons(s) resulting in injury or death;1;35.18519;-111.654707
10 06 2015;Houston, TX ;Texas Southern University ;TX;College ;Attack on other persons(s) resulting in injury or death;1;29.721763;-95.360612
10 02 2015;University City, MO ;University City High School ;MO;K-12 ;Attack on other persons(s) resulting in injury or death;1;38.665088;-90.329303
10 01 2015;Roseburg, OR ;Umpqua Community College ;OR;College ;Attack on other persons(s) resulting in injury or death;1;43.289522;-123.333247
09 30 2015;Harrisburg, SD ;Harrisburg High School ;SD;K-12 ;Attack on other persons(s) resulting in injury or death;1;43.434295;-96.719448
09 28 2015;Butte, MT ;Montana Tech of the University of Montana ;MT;College ;Gun fired but no one injured;0;46.012346;-112.557698
09 22 2015;Statesville, NC ;Central Elementary School ;NC;K-12 ;Attack on other persons(s) resulting in injury or death;1;35.927912;-80.960631
09 14 2015;Cleveland, MS ;Delta State University ;MS;College ;Attack on other persons(s) resulting in injury or death;1;33.745378;-90.735451
09 11 2015;Lafayette, LA ;Northside High School ;LA;K-12 ;Attack on other persons(s) resulting in injury or death;1;30.251483;-92.002838
09 03 2015;Sacramento, CA ;Sacramento City College ;CA;College ;Attack on other persons(s) resulting in injury or death;1;38.540867;-121.491488
08 27 2015;Savannah, GA ;Savannah State University ;GA;College ;Attack on other persons(s) resulting in injury or death;1;32.024521;-81.062637
08 26 2015;Houston, TX ;Texas Southern University ;TX;College ;Attack on other persons(s) resulting in injury or death;1;29.721763;-95.360612
08 25 2015;Augusta, GA ;Hornsby Elementary School ;GA;K-12 ;Gun fired unintentionally resulting in injury or death;0;33.459921;-81.937786
08 23 2015;Richmond, TX ;William Velasquez Elementary ;TX;K-12 ;Gun fired but no one injured;0;29.539189;-95.683017
08 08 2015;Wichita, KS ;Wichita State ;KS;College ;Attack on other persons(s) resulting in injury or death;1;37.719393;-97.292869
08 08 2015;Paradise, TX ;Paradise High School ;TX;K-12 ;Gun fired but no one injured;0;33.144268;-97.690696
07 27 2015;Gainesville, FL ;University of Florida ;FL;College ;Gun fired but no one injured;0;29.643633;-82.35493
07 24 2015;Converse, TX ;Elolf Elementary School ;TX;K-12 ;Attack on other persons(s) resulting in injury or death;1;29.486211;-98.31754
07 05 2015;Dallas, TX ;Coppell Middle School East ;TX;K-12 ;Attack on other persons(s) resulting in injury or death;1;32.961876;-96.996092
06 23 2015;Fort Calhoun, NE ;Fort Calhoun Elementary School ;NE;K-12 ;Gun fired but no one injured;0;41.456361;-96.021647
06 04 2015;Franklin, NC ;South Macon Elementary School ;NC;K-12 ;Gun fired but no one injured;0;35.113436;-83.399244
05 27 2015;Everglades City, FL ;Everglades City School ;FL;K-12 ;Attack on other persons(s) resulting in injury or death;1;25.864086;-81.387025
05 24 2015;Flint, MI ;Southwestern Classical Academy ;MI;K-12 ;Attack on other persons(s) resulting in injury or death;1;42.998104;-83.699571
05 20 2015;Robinson, TX ;Robinson High School ;TX;K-12 ;Attempted or completed suicide, with no intent to injure other person;0;31.462716;-97.121388
05 12 2015;Tempe, AZ ;Corona del Sol High School ;AZ;K-12 ;Attempted or completed suicide, with no intent to injure other person;0;33.325218;-111.926166
05 05 2015;Conyers, GA ;Conyers Middle School ;GA;K-12 ;Gun fired but no one injured;0;33.683907;-84.004715
05 04 2015;Cleveland, OH ;Willow Elementary School ;OH;K-12 ;Attack on other persons(s) resulting in injury or death;1;41.475314;-81.656187
05 04 2015;Orem, UT ;Utah Valley Univeristy ;UT;College ;Gun fired unintentionally resulting in injury or death;0;40.278831;-111.715197
04 27 2015;Lacey, WA ;North Thurston High School ;WA;K-12 ;Gun fired but no one injured;0;47.052296;-122.832465
04 22 2015;Las Vegas, NV ;Ruthe Deskin Elementary School ;NV;K-12 ;Gun fired but no one injured;0;36.243462;-115.255142
